The First Tier (Most strongly recommended);
Beethoven;Symphony #9 in D minor, op. 125 "Choral";1824; 
Bach;Das wohltemperierte Klavier (The Well-Tempered Clavier), BWV 846-893;1722;  
Bach;Mass in B minor, BWV 232;1749;  
Stravinsky;Le Sacre du printemps (The Rite of Spring);1913; 
Wagner;Der Ring des Nibelungen (The Ring of the Nibelung);
Wagner;Das Rheingold (The Rhinegold);1854; 
Wagner;Die Walküre (The Valkyrie, including "The Ride of the Valkyries");1856;
Wagner;Siegfried;1871; 
Wagner;Götterdämmerung;1875; 
Beethoven;Symphony #5 in C minor, op. 67;1808;  
Brahms;Symphony #4 in E minor, op. 98;1885; 
Mahler;Symphony #2 "Resurrection";1894; 
Bach;Cello Suites, BWV 1007-1012;1720; 
Beethoven;Symphony #3 in E-flat, op. 55 "Eroica";1803; 
Brahms;Piano Concerto #2 in B-flat, op. 83;1881; 
Dvořák;Symphony #9 in E minor, op. 95 "From the New World";1893; 
Mozart;Requiem Mass in D minor, K. 626;1791; 
Wagner;Tristan und Isolde;1859;  
Bach;Goldberg Variations, BWV 988;1741; 
Bach;Matthäus-Passion ("St. Matthew Passion"), BWV 244;1746; 
Beethoven;Symphony #6 "Pastoral" in F, op. 68;1808; 
Brahms;Clarinet Quintet in B minor, op. 115;1891; 
Mahler;Das Lied von der Erde;1909; 
Mahler;Symphony #9;1909; 
Mussorgsky;Pictures at an Exhibition;1874; 
Schubert;String Quintet in C, D. 956;1828;
Bach;Brandenburg Concertos, BWV 1046-1051;1721; 
Bach;Die Kunst der Fuge (The Art of Fugue), BWV 1080;1742; 
Brahms;Piano Quintet in F minor, op. 34;1864; 
Brahms;Symphony #1 in C minor, op. 68;1876; 
Brahms;Violin Concerto in D, op. 77;1878; 
Dvořák;Cello Concerto in B minor, op. 104;1895; 
Mozart;Le nozze di Figaro (The Marriage of Figaro), K. 492;1786; 
Mozart;Symphony #41 in C, K. 551 "Jupiter";1788; 
Beethoven;Piano Concerto #4 in G, op. 58;1806/7; 
Beethoven;Piano Sonata #29 in B-flat, op. 106 "Hammerklavier";1818; 
Beethoven;String Quartet #13 in B-flat, op. 130 and the Große Fuge, op. 133;1826; 
Debussy;Prélude à l'après-midi d'un faune (Prelude to the Afternoon of a Faun);1894; 
Mahler;Symphony #6 in A minor;1904;
Mozart;Don Giovanni;1787; 
Mozart;Piano Concerto #20 in D minor, K. 466;1785; 
Tchaikovsky;Symphony #6 "Pathétique" in B minor, op. 74;1893; 
Beethoven;Piano Sonata #32 in C minor, op. 111;1822;   
Brahms;Symphony #3 in F, op. 90;1883; 
Brahms;Ein deutsches Requiem, op. 45;1868; 
Fauré;Requiem in D minor, op. 48;1890; 
Mendelssohn;Violin Concerto in E minor, op. 64;1844; 
